No,reviewers_name,reviwers_rating,reviwers_title,reviewers_text,
125,Tweetienator,7,Travelling Wonderland,"Nice eye-candy with a great production/visuals/design, solid acting and well, of course a well-known story. Anyway, Maleficent is a good watch if you like to drop yourself into fairy wonderland, if not, don't bother. Maybe no masterpiece but for certain no fail. Good.",
126,leonblackwood,7,Surprisingly Enjoyable! 7/10," I really thought that this was going to be a typical Disney movie about fairies and magic dust, but I really enjoyed it. Although the storyline is based around Sleeping Beauty, I found it quite dark with some adult content. The CGI throughout the movie looked impressive and Angelina Jolie played her part extremely well. After being betrayed by her loved one, she turns quite evil and full of hate, but once Aurora comes into the picture, you get to see an inner sweetness which made her character entertaining and a joy to watch. Pieced together with Sharlto Copley playing the villain, this movie really did have every aspect covered and I'm not surprised that it made so much money at the box office. A Great Watch!

Round-Up: Angelina Jolie really doesn't make that many movies anymore, but when she comes out of the woodwork, she really does come out with some good movies. From Changeling to the action packed Wanted, she really does have a versatile acting ethic and with all of her charitable work and her hectic family life, I'm not surprised that making movies is low down on her priority list. I liked the chemistry between her character and Sam Riley, who played the crow, and the action scenes were very well thought out by the director. Personally, I don't think that it's a movie for the young ones because there are some scenes that will give them nightmares, but there are some scenes they will enjoy, like her magical land and the amazing creatures. In all, I'm surprised that I enjoyed the movie because I really wasn't expecting something so dark.",
127,Movie_Muse_Reviews,7,Visually delightful twisted fairy tale that plays to its strengths,"Disney's latest trend remaking its animated classics with live action and special effects meets the ""untold story"" motif in ""Maleficent,"" a spin on ""Sleeping Beauty"" from the villains' perspective. With traces of ""Wicked"" in the story and Tim Burton's ""Alice in Wonderland"" in the visuals among other aspects, ""Maleficent"" has some excellent fantasy characteristics, and by carefully playing to its strengths, results in a sufficiently captivating film.

Everything about ""Maleficent"" starts and ends with Angelina Jolie. Ask the average person some Disney trivia and they probably wouldn't be able to tell you who Maleficent is. The only reason the film received $180 million and a go-ahead was because one of Hollywood's biggest stars had the eyes and cheekbones to pull it off and she said yes. Turns out Jolie has more than the obvious traits to make Maleficent into a sinister and sassy anti-hero. Every little catchphrase she delivers is the acting equivalent of taking a perfect bite out of a juicy apple.

Written by Disney live-action ""Alice"" scribe Linda Woolverton and directed by ""Alice"" production designer Robert Stromberg, ""Maleficent"" feels very much cut from that film's cloth, only it's a little more straightforward and less boring. At a tastefully merciful 97 minutes long, there's an understanding that this is just supposed to be a clever twist on a fairy tale and not the next big Disney franchise.

Stromberg's visuals are as impressive as his resume would suggest, having won Oscars in art direction two years in a row for ""Alice"" and ""Avatar."" The world of fairies doesn't play an integral role in ""Maleficent,"" but when the film does take us there, it's something to marvel at. Given these visuals exist for the sake of being beautiful, not because they serve a greater purpose, it speaks highly to the art team of ""Maleficent"" that they distract from the narrative blah of the film.

The problem with ""Maleficent"" is that its premise is far more interesting than the actual plot. Woolverton twists the classic story of ""Sleeping Beauty"" to make Maleficent so totally misunderstood and in doing so shakes up the traditional and often gendered archetypes of fairy tales. That's how the film hooks the audience, not with riveting suspense over how it will all play out.

In a nutshell, Maleficent was a kind and beautiful winged fairy, and a human boy, named Stefan, being as human boys are, stole her heart and betrayed her so he could become king. So when King Stefan (Sharlto Copley) and the queen give birth to Princess Aurora, Maleficent's curse on the curl is much deserved pay-back. And as it turns out, as Aurora (Elle Fanning) comes of age, Maleficent isn't simply hiding in the shadows.

On one hand, there's something frustrating about how narratively, ""Maleficent"" is about two adults who can't talk about their feelings and instead wage war against one another, but on the other, watching the film is like diving quickly into a beautifully drawn picture book that reinterprets a classic story. There's a nice message about true love in there too that really makes the whole concept a worthy exercise. No one will call ""Maleficent"" an excellent film in anything but its production value, but it should enjoy a long life as a visually fun and delightfully campy fairy tale twist.",
128,lisafordeay,7,I enjoyed this version of Sleeping Beauty(some spoilers ahead),"Yesterday I went to the cinemas 6/6/14 to see the new live action movie based on the 1959 animated fairy-tale Sleeping Beauty(which I also bought on DVD yesterday what coincidence eh)that deals with the villain in the movie Maleficent(played by Angelina Jolie sporting a British Accent like the time she was Lara Croft in the Tomb Raider movies,who knew Maleficent or any of the charcthers from Sleeping Beauty were UK accents its kinda weird why as I thought Sleeping Beauty was based in Denmark?).

Anyway back on to the review Maleficent is a fairy with beautiful eagle like wings and horns on her head who falls in love with a handsome human boy named Stefan. But when Stefan got older and his dad the king was dying and wanted someone to take over, but before anyone could take the kings place they must kill Maleficent first,Stefan decides to destroy Maleficent by cutting off her wings using chains. Heartbroken,Maleficent swores on revenge and finds out that Stefan's wife had a baby daughter according to her shape-shifting crow who she transforms into a man as she says that he will be her wings and she interrupts the ceremony and puts a wicked curse on the baby girl where she will fall asleep on her 16th birthday by pricking a spinning wheel with her finger and the only way to be awakened is by true kiss.

So Aurora(played by We Bought a Zoo's Elle Fanning who is Dakota Fanning's younger sister)is now living at a nearby cottage with her 3 fairies who turned themselves into peasant women, and every night Maleficent would sneak in and see her from the time she was a baby till she was 16,and also play misfit with Aurora's 3 fairies. But when Aurora meets Maleficent she thinks she is her Fairy Godmother; but is Maleficent really that bad/evil??. Of course Aurora later meets a prince called Phillip and she takes a shine to him,but when the curse is already set upon can Phillip's true love's kiss break the spell or someone else??

Overall I really enjoyed this movie as its got a very surprising twist to it similar to Disney's overrated masterpiece Frozen with Elsa and Anna where they don't need a man to break the curse. To be honest I think this film was sorta trying to be Frozen especially where (if you seen the movie),their kiss worked on Aurora and I was surprised by it. Angelina Jolie was brilliant as Maleficent sporting horns and wings and a PVC suit and a British accent. As well as starring in this movie,,her daughter Vivienne Jolie Pitt makes a cameo as Aurora as a toddler where she meets Maleficent and plays with her horns,as Maleficent says to her I don't like children,and Angelina was the Executive Producer for this film too. It was her movie and she did a fantastic job as the villain in Sleeping Beauty,but you do see a soft side to her character.",
129,gwnightscream,7,"""Good Fantasy Re-Imagining!""","Angelina Jolie, Elle Fanning and Sharlto Copley star in this 2014 fantasy re-imagining of the 1959 Walt Disney classic, ""Sleeping Beauty."" Jolie plays the title role and this story is a bit different in which she starts out as a sweet, young fairy who shares a friendship with a young man, Stefan. Soon, she becomes wicked and full of hate after he takes her wings and sets out to become heir to the king's throne. She vows to get revenge by placing a curse on his newborn daughter, Aurora on her 16th birthday. Maleficent watches Aurora grow up as a sweet, innocent girl and may not be so bad when she starts to grow close to her and tries breaking the curse. Fanning plays Aurora at 16 and Copley plays Stefan as an adult. Jolie gives a great performance and looks exactly like the original character. James Newton Howard's score is also great as usual and I recommend this good fantasy.",
130,dfranzen70,7,"Deep, dark, and delicious","One day a Disney exec wondered out loud about what would happen if they remade one of their classic animated films but told from the villain's point of view. His yes men thought it was a great idea, until one of them pointed out that if the villain was the main character, they'd have to find a way to make him or her more appealing, someone the kids could root for, rather than against. And that leads us to Maleficent, in which the baddie from Sleeping Beauty is not a simple conduit of pure evil but a glad fairy wronged by by a human lover who perseveres despite her negative nature.

For those of you not up on your Disney, Maleficent was the wicked fairy who placed a curse on the infant Aurora, the daughter of the king who'd once held Maleficent's heart. The curse stated that on her sixteenth birthday, Aurora would be pricked by a spindle of a spinning wheel and then fall into a deep slumber that could only be broken by true love's kiss. Much of that plot structure is intact here, but we get to witness it all through the eyes of the fairy herself, Maleficent (Angelina Jolie).

At the story's outset, Maleficent is a winged fairy at one with the land and her ethereal companions. She laughs, they laugh. She protects them from harm, they laugh. It's all very symbiotic. And then one day a young boy wanders into the moors that the fairies call home - a boy named Stefan. They laugh a lot together, too, and they become close friends over the years. Then, as a young man, Stefan hopes to be named successor to the king whose realm surrounds the moors (a king who is dying thanks to the injuries inflicted upon him by Maleficient after his army attacked); the king says that whoever can defeat Maleficient for him will be the new ruler. So, despite the many years of laughter and love, Stefan decides to betray Maleficent, and that's when stuff gets truly deliciously dark.

For kids who saw the '59 animated movie, Maleficent was indeed a forbidding character but still manageable thanks to the cartoon nature of the film. Jolie's Maleficent is a little more terrifying. I don't know if kids today are just more jaded, but I think if I were eight years old I'd find this particular evil fairy the stuff nightmares are made of. Maleficent has large horns emerging from the top of her head, deep-red lipstick, and wicked, wicked eyes. She's not one to be trifled with. She also has what your English teacher might describe as ""verve."" Or maybe you would, if you're British or pretentious, or both. Anyway, grown-up Maleficent not only wields very powerful magic, she's defiant, defensive, and scheming. Add to that the fact that she's been spurned, and you have a perfect storm for a whole lot of revenge being dished out.

Now, in contrast to Sleeping Beauty, in which we witnessed Aurora's adventures through the prism of three bumbling (but well-intentioned) pixies, this trip is more about character growth. Look, it's a Disney film, so good things are probably going to carry the day. But it's not as if the well-known fairy tale is being treated as gospel, either. Because of the shift in perspective, some tropes common to Disney animated films are tweaked just a tad.

Jolie is amazing in a dominating (naturally) performance. Elle Fanning, as the teenaged Aurora, is fine in an understated (and understandably underwritten) role. Sharlto Copely plays Stefan, who transforms from a kind romantic to a caricature of Howard Hughes by the time the denouement arrives. (He's still pretty good, though.) But Jolie is the only actor who matters here, and this is a tour de force for her. It's a fun, intense role for her, and she doesn't dilute her character's ferocity by vamping. The visual effects, though, help mask the fact that this is a one-woman show. All of this adds up to a really well done live-action reimagining of a Disney classic, which is not a phrase one would have expected to type even five years ago.",
131,stevendbeard,7,Different Look at Disney Villain,"I saw ""Maleficent"", starring Angelina Jolie-Salt_the sequel is in the works_, Lara Croft:Tomb Raider; Elle Fanning-We Bought a Zoo, Super 8, Oh yeah, she is Dakota's younger sister and Sharlto Copley-The A- Team_2010, District 9.

It's been 55 years since the original Disney Sleeping Beauty was released, back in 1959. This is not a remake of that classic film, but it is based on it. It goes more into the early history of the characters. As the film starts, Maleficent is a child who is a fairy with horns on her head and big wings on her back. She is a good person, both to other fairies and creatures of the forest and even to nature itself. Then, she meets, falls in love with and gets betrayed by a normal human and things turn dark. Angelina plays Maleficent as an adult and Sharlto plays the grown up betrayer, who is now a king. Elle plays Sharlto's daughter, the girl who is to become sleeping beauty. The effects are pretty good, as well as the acting. The only thing is that it may be a little too scary for smaller kids; I saw several people with young kids in my theater that seemed a little frightened during certain scenes. Lana Del Rey sings Once Upon a Dream for the main theme song of the movie. It was rated ""PG"" for violence and frightening images and has a running time of 1 hour & 37 minutes. I enjoyed it and would probably buy it on Blu-Ray.",
132,iquine,7,Unique Spin on a Classic,"This magical fairy tale revolves around a bitter fairy, Maleficent, who's majestic wings were sliced from her back by a man who would become king if he killed her. Since those two were childhood friends, he couldn't bring himself to kill her. Yet Maleficent, in a furious rage, puts a curse on the new king's newborn daughter that'll will come true on her 16th birthday, which can only be removed by a kiss from a true love. As the little girl gets older Maleficent began to grow fond of her and tries to remove the curse but even she is unable. Oh No! ;-) Will a true love find her before her sweet 16 and if not, will she ever find true love? A typical fairy tale story but nonetheless, it is magically presented with sweeping special effects and solid acting. This type of role is well-suited for Jolie as her chiseled look is right on. This has a darker atmosphere than most of Disney's movies yet has enough creativity and quirky characters to entertain older children.",
133,r96sk,7,Cool to see a different telling of 'Sleeping Beauty',"Not as dark or deep as I was expecting/wanting, but it is cool to see a different telling of 'Sleeping Beauty'.

Angelina Jolie fits as the titular character, bringing with her a good performance. Elle Fanning (Aurora), Sharlto Copley (Stefan) and Sam Riley (Diaval) play their respective roles well enough, but neither come close to matching Jolie - as you'd probably expect.

I found the special effects a bit iffy. It's not that it looks anything close to bad, I just thought it could've looked better. The score isn't all that memorable, either. I did enjoy how the plot unfolds though, mainly thanks to the lead admittedly.

Intrigued to see what the sequel to 'Maleficent' has to offer.",
134,3xHCCH,7,Ironically Enchanting,"""Maleficent"" is about the evil horned witch we see condemn Princess Aurora to a grim irrevocable curse on her 16th birthday in the Disney classic animated film ""Sleeping Beauty."" Like the recent ""Snow White and the Huntsman"", this re-imagined fairy tale goes beyond the beloved story we know. In this case, it tells us the reason behind Maleficent's malevolent hate for humanity that caused her to issue such a miserable curse.

The popular trailer with all those quotable lines (""Well, well ..."" or ""Then you'll be afraid ..."") does not spoil anything. There is still so much to see and be enthralled about as the story unfolds from Maleficent's childhood until that fateful day of Aurora's Christening. You will definitely understand what made Maleficent deliver such a deadly curse.

But for me there was more ironic magic in what unfolds after that day, when Aurora was brought to live in the woods with the three small fairies, who were not how we know them as well. Even in the face of impending danger, the film manages to convey a sense of wonder and even awe. It does so without ever lapsing into over- sentimentality or being corny. For me, these scenes are a pure delight.

That is, until we reach that part when the sleeping Aurora gets wakened from her eternal sleep by the kiss of true love. What was supposed to be THE climactic moment of the film turned out to be a most anti-climactic disappointment. This scene was just so familiar, very reminiscent of another climactic moment in another recent big Disney hit.

Angelina Jolie looked like she was born for this role. Those exaggerated cheekbones actually suited her quite well. She captured the many layers of Maleficent's emotion and character in both big theatrical gestures, but more so in those small subtle facial or vocal inflections. I cannot imagine another actress other than Ms. Jolie in this role. That beautiful scene between Ms. Jolie and her real daughter Vivienne (as toddler Aurora) was divine beyond description.

Elle Fanning was a very pretty Aurora, with her disarming smile radiating her character's good nature and blithe spirit. Sam Riley also stood out as the human form of Maleficent's trusted crow, Diaval.

Sharlto Copley looked woefully miscast as King Stefan since he did not particularly look or act kingly at any point. Brenton Thwaites, the awkward young actor they chose to play Prince Philip, did not particularly look or act princely as well.

The three actresses who played the three little ""good"" fairies led by Imelda Staunton were not bad. However for me, they were only occasionally funny as sometimes their comedy could get corny. That they did not stick to the dear Flora, Fauna and Merriweather we know is also rather disconcerting.

The land of enchantment in the mysterious Moors, with its fairies and other fanciful creatures, was created as an unexpectedly delightful and happy dream world by the computer animation artists. The special visual effects which transformed Diaval into his various animal forms (including fire- breathing dragon) were also topnotch.

This film is best viewed with a blank slate, no expectations at all. The magic of this film is witnessing firsthand those unexpected twists and turns in the relationship between Maleficent and the other characters in the well- known tale.

Up to the point before Aurora goes back to the palace, I was very fascinated with the storytelling such that my rating was 9, or even 10. However the very weak and predictable climax significantly knocked a couple of stars off. But overall, it is still a film worth catching on the big screen. 7/10.",
135,peterp-450-298716,7,I believed in fairy tales again during 97 wonderful minutes.,"""Before the sun sets on her sixteenth birthday, she will fall into a sleep like death!""

The very first feature film I've seen(as far as I can remember)was the original Walt Disney film ""Snow White and the seven dwarfs"" when I was about 6 years.It was in such a tiny village cinema in the pre-smart phone era.You could actually enjoy a movie without the feeling that you were in some kind of nightclub with all these luminescent screens.That movie made quite an impact on me. Maybe that's when my love for the medium of film was created.Later in life, I read lots of books.Especially the fantasy genre appealed to me. A fantasy world as Terry Pratchett,Feist,Terry Goodkind and Tolkien (of course) described it.When reading a book about a mythological and magical world populated by dwarfs,giants,wizards and knights,I spent hours in this imaginary setting.The film industry also amused me with great movies like ""Willow"",""The Lord of the Rings"" or ""The Chronicles of Narnia."". Ashamed I have to admit that I was eager to see the first Harry Potter movie,as if I was still a teenager. And nowadays, being a father, I enjoy watching ""Frozen"" and old Walt Disney classics with my two kids. To make it short: I still love a fairy tale once and a while! ""Jack the Giant Slayer"" and ""Snow White and the Huntsman"" already appealed to me. The first one because of the beautiful SE's and the impressive giants.The second film because of the gang of funny dwarfs. Sad enough the expression on the face of Kristen Stewart was again of the same level as a typical pancake.That disappointed me a bit. And that's the most successful part of ""Maleficent"":.The wide range of expressions that Angelina Jolie demonstrates herein.No discussion.She was perfect for the role. That soft and sweet look while relaxing and during loving moments. The menacing, unyielding gaze during a confrontation. The devastating evil glance at the time she felt betrayed and hurt. Both facial expressions as body language are used by Jolie in a fantastic way. Those glittering eyes, those sharp cheekbones,the dominance and that demonic laughter. I never thought I would say this about Angelina Jolie,but this was really a beautiful rendition.

Everyone knows the story of ""Sleeping Beauty"", so it's a bit pointless to summarize it here. But if you assume that this is an ordinary film that doesn't deviate from the original story, then you are mistaken. This time they looked at it from a different angle. And I must admit that you can call it a fairly successful result. First of all the build-up to the story of ""Sleeping Beauty"" was magnificent. Although it looked more like the intro of ""Settlers"". It felt like a cartoon. That feeling goes away the moment you enter the Moors. A magical land adjacent to the human civilization, where only peace and happiness prevails, and one does not know or understand the human traits of greed and envy. A magical landscape populated by all sorts of wondrous characters, including the small (but powerful) fairy Maleficent who lives in a huge tree. That she eventually becomes the evil and vengeful witch because of underhanded treachery, is a very creative brain twisted idea that the filmmakers have used here. And the denouement differs somewhat from the original fairy tale. But I must admit that I found it extremely fascinating and unique.

About the parts being played I can be short and concise.There is only one masterful rendition in ""Maleficent"" and that's the one Jolie takes care of. The whole movie revolves around this character and (I can not say it enough) she did it masterfully and professionally. An engaging and friendly character at the beginning,who's determined to defend the Moors against the humans.And then transforming into a nasty, evil witch with a devilish smile.The most striking imaginative scenes were the battle at the Moors and the christening. Then you see her slowly transform into an understanding person with remorse. For once I felt sorry for the wicked person from a fairy tale and sympathised with her.

The other members of the cast were reduces to meaningless roles that were necessary for the story because of this acting by Madame Jolie. Elle Fanning did well as Aurora (Sleeping Beauty) but was really annoying after a while with her innocent giggling all the time. Sharlto Copley was convincing as the power-hungry King Stefan. And the three fairies, who were given the task to guard Aurora until her 16th birthday, didn't look great when they were still mini. But they took care of the humor side of the story. The only one who could make an impression next to A. Jolie, was Sam Riley as Diaval. But I guess the successful effects when he transformed into a horse or dragon again, had something to do with that.

And then there is the second very important part of this film : the special effects. These were at times overwhelmingly great. The landscape of the Moors, the creatures living there, the battle against the humans with the living trees (immediately reminded me of ""The Ents"" from TLOTR), the dragon and the flying skills of Maleficent herself. Breathtaking and simply beautiful. With a budget of roughly $ 200 million it ought to be. And Stromberg as a director also guarantees that. He knows the craft of visual effects, looking at his impressive resume on IMDb.

An entertaining movie with a masterful interpretation. Nothing negative to say then ? Oh yes, it's sometimes so blandly and predictable. Immediately you feel where it's going and how the denouement will be. It's not very original and the surprising twist is actually obvious. But it's a long time since I was immersed in a fairytale atmosphere like this and momentarily I forgot I had already passed that age where you still believed everything. I believed in it again during 97 wonderful minutes.

More reviews at http://opinion-as-a-moviefreak.blogspot.be",
136,Amari-Sali,7,"When a man's ambition leads to the betrayal of a young woman heart, you find yourself within the re-imagined story of Sleeping Beauty known as Maleficent.","Like a good majority of people, I found the idea of Angelina Jolie as a Disney villain exciting, and Maleficent, without question, fits all the appeals she has an actress. But, alongside of the appeal of having Jolie in the film, also the remixing of an old story is quite interesting. After all, the Disney animated version came out more than 50 years ago and while Once Upon a Time has featured Maleficent, it wasn't Angelina Jolie.",
137,ShelbyTMItchell,8,Disney Fans Will Love Humanized Tale!,"Angelina Jolie who has been taken a break from the big screen for up to three to four years. Comes back in a big way. As the title character as a very strong and very powerful fairy who as a kid, stars out sweet and kind and loves to fly.

Who falls in love with a human peasant boy named Stefan. But Stefan has other plans besides falling in love. As he really costs Maleficent's wings along with her hatred of him over it.

Meanwhile Stefan marries and have a daughter named Aurora, whom due to the fact of Stefan breaking her heart. Will curse the baby, But due to some begging, will not as the curse will have to be broken by something that you will have to see in the movie.

Stefan has three childish fairies to take care of Aurora until her 16th birthday but they become neglectful of their duties. Despite her grudge over Stefan and at first, does not like Aurora over it. Begins to have a more love than less hate relationship with the young teenage girl as she grows and matures.

The ending will leave you really not wanting to go to the bathroom at all. As true love is not what you think in this movie as there is a twist to it. Jolie has great support by Elle Fanning as the young Aurora, Sharlto Copely as King Stefan, Sam Riley as the confidant and shape shifter of the protagonist, and much more.

Sure it got mixed reviews but really its is a sweet story. Go see it for yourself.",
138,rgkarim,8,"A New Take, A New Maleficent","It seems that Disney pumps out a new movie every month these days, as the studio releases yet another film. Instead of baseball throwing Indians though, this weekend's film revives an old tale in a new form. Yes, I'm talking about Disney's Maleficent, director Robert Stromberg's adaptation to the animated Sleeping Beauty. Did he fill the big shoes and hype the trailer's brought? Read on to find out

If you haven't been swept away by the cascade of trailers, this tale focuses on the dark fairy's origins and how she became so wicked. At least that is part of the story. Stromberg took some interesting steps in his rehash, putting enough spin on the tale to make it almost an entirely different story that is sure to bring mixed reviews. I myself rather enjoyed the tale, despite it's predictability, creating a character-centered story with emotion, passion, and a little bit of surprise while still bringing other elements into the tale.

Of course the main support of the movie is Angelina Jolie, who captured the villainess in both looks and spirit. Her natural beauty, combined with fantastic makeup and wardrobe, was accentuated in this film, ditching the green skin for a more natural look that radiated power. Jolie's beautiful eyes seemed to act on their own, mirroring the emotions trapped within the dark fairy. Even her voice sounded like Maleficent, grabbing the arrogant and malicious smoothness the cartoon made famous, though her screaming and moaning were a bit overdone. Jolie nailed the spectrum of emotions her part required, and had me fall in love with her acting all over again as well as have a different look on Maleficent. Of course I am a reviewer who likes his balance, and Maleficent fails to spread the acting weight around, relying on Jolie a little too much

The other cast in this movie were okay, their limited screen time just long enough to bring something to the movie. Sam Riley as Maleficent's raven Diablo er Diaval , was my second favorite of the cast. His character was a mini version of Maleficent; helping to keep the sorceress on her toes, while providing well timed comedic relief to keep the tale running. Elle Fanning brings cuteness and positivity, but doesn't add much more than that, often reduced to walking and smiling at the green screens around her. Sharlto Copley as King Stefan is an important character, but his overstretched accent, and acting made him a bit more humorous than what I think they intended.

However, the greatest thing about this movie for me is the world Stromberg and company created. Maleficent's design is gorgeous in all aspects, as the fictional kingdoms come to life in spectacular detail, that would look even better in 3-D. While the human kingdom is fitting, the true masterpiece is the Moors, as the mythical beasts and enchanted creatures come out in dazzling colors and light that fits the whimsical nature befitting fairy tales. The integration of nature into each creature, allowed for a variety of creatures to be seen in the movie, each mirroring their place in the hierarchy of Maleficent's kingdom. My particular favorites were the tree warriors, not just for the action they brought, but for the integration of cultures and movies in their design, though I'll admit they are a bit similar to the tree ents in Lord of the Rings.

Maleficent does have some weaknesses at hand. Some of the creatures were a bit too similar familiar characters we've seen in other films, the biggest being the fat elves that look like an overweight Dobby from Harry Potter. The pixie's were my biggest problem. Their design was a bit too fake, exaggerated, and sometimes very similar to what Smeagle would look like as a girl. On top of that, they were airheads that were meant to be funny, but were more annoying, very similar to a certain Star Wars character we all know. I think Stromberg made them the way that Maleficent saw them, but he just went a little too far for my tastes, luckily they aren't in most of the movie. As for the story, the twists are interesting and well needed, but at times I was a bit bored, wanting something else to happen instead of getting an eyeful of Maleficent stalking in the shadows. It seemed they fast-forwarded through some parts, focusing on the visuals and Jolie, more than the actual story. Of course I may have been a little close-minded at parts from my expectations of the film.

Maleficent took a different path, but there are so many good elements to this movie that make it worth a trip. Visually it is gorgeous, and Jolie brings so much to the part though it was at the cost of the other actors. Story wise it is fine, but try to go in with an open mind or you may be disappointed with Stromberg's approach. Is it worth the hype? For me it wasn't as good as the trailers made it out to be, but it was still good and emotionally fulfilling, despite some of the odd antics. I would say it is theater worthy to see.",
139,Seraphion,7,A good job on retelling of the classic children's tale,"At first, little Maleficent was a nice fairy. One day she meets Stefan, a human boy from the neighboring human kingdom. The acquaintance grows into a romance until they're adults. But then after his 16th birthday present to her, he doesn't go to meet her anymore. The Human King then sought to conquer the Moors, kingdom of the forest where Maleficent stands guard. She and her forest army managed to repel the attack and injure the King, but he survived because his iron armor wounds her. At his sickbed, the King ordered his men to avenge him by killing Maleficent. Stefan, who turns out to be one of the king's men, meets her in the forest at night, at first warning her of the King's order. But then he betrays her by cutting away her wings while she's asleep. Not long before she knows the truth of Stefan's betrayal and his reasons, and this turns Maleficent from a pure at heart into a vengeful being. Without her wings, but fueled with vengeance, her magic grows stronger. Not long, the new king and queen have a child and throws a grand celebration.

As in the tale, the wicked Maleficent came crashing at the celebration, giving the child Aurora a bad wish of eternal slumber on her 16th birthday, which can only be awakened by true love's kiss. Aurora is then kept hidden for 16 years by the good fairies while the king's men tries over and over to siege the Moors to no avail. Over the years Maleficent and her aid crow looks over her without the fairies knowing. At one point Maleficent lets herself be known to Aurora, and Aurora rekindles the love that was once in her. Maleficent tries to cancel her curse on her but fails. Aurora briefly meets Phillip. On the eve of her 16th birthday Aurora discovers the truth of Maleficent. She then goes to her father but the king locks her up in a room. Maleficent snatches the returning Phillip, knowing that he can be the answer for the curse. The curse manifests a spinning wheel and Aurora goes into sleep as her finger is punctured by the needle.

Maleficent sneaks into the castle carrying the fainted Phillip and deliver him to Aurora's room. The fairies encourage him to kiss Aurora, but she still sleeps after it. Maleficent, out of her regret kisses Aurora on his forehead, and that kiss awakens her. Maleficent and Aurora then go to see the king but the soldiers capture Maleficent with an iron net. She changes her crow into a dragon that saves her from the net. But the soldiers prepares iron tower shields and block her movement while the dragon is shackled with chains. Aurora slips into a room where her father keeps Maleficent's wings and breaks the cage. The wings fly back and merge back to Maleficent's body, strengthening her. She carries on with the fight and manages to exile the king with her alone on a top of a tower. She holds back her fatal blow but the king stabs her from behind. In retaliation she sort of throws him from the tower. Afetr the king's death, the two kingdoms are united and the story ends well.

The base story is an example of a creative retouch on an already well- known story. But instead of being a mere sequel, prequel, remake or reboot, Maleficent promises a fresh story by simple altering the perspective from which the original story is being told. And by having a different perspective, of course there are altered elements of the original story. Much like in a case with more than one witness, some witnesses will have differing elements to the same story.

The choice of cast is quite unique from my point of view. The main cast unite the senior Angelina Jolie with the newcomer Elle Fanning. Elle has a great deal on her hands, being to have a significant role in a big break to at least stand on the same standard as her sister Dakota. The supporting cast is filled with stars with remarkable acting capabilities but with relatively no significant role as yet, such as Sharlto Copley, Sam Riley and Imelda Staunton.

Yet with those cast of diverse blockbuster experience, the acting proves quite good. No doubt their theater experiences, and the basic setting and story mood that requires less of common-era behavior, helps to boost the perspective towards the acting.

The makeup department did a great job overall. Although for me, Maleficent's headdress slightly slipping over forward at the later parts is quite annoying. The music scoring is a great help in building the mood of the scenes, especially on the scenes of battle preparations, appearances and magics. The visual effects are done well giving us enough to live out the fantasy world of the Moors. Although I think that the visual effects is taking more emphasis it should have.

From me, Meleficent (2014) deserves a 7 out of 10 score and a recommendation to go and see. It's a good family movie to spend time with.",
140,raulfaust,8,Karma Chameleon,"Since some good friends invited me, I went to the cinema to check this picture, knowing nothing about it-- except that Angelina Jolie would be in it. I'm not a fan of animations, and I haven't ever heard about Maleficent's story, but I really enjoyed this movie. Angelina Jolie plays a fairy that due to bad circumstances of her life, becomes relatively mean. The good point that this movie tries to show is that people aren't a hundred percent good or bad. It depends on a lot of circumstances that sometimes are not up to us. In this case, spectator can't distinguish who is the villain. Both main characters have their motivations and do what they feel like doing when the feelings come up. And that's a good thing, considering that children movies used to expose the manicheaist idea of ""good vs. bad"". Also, the special effects are AWESOME, and so is the directing, delivering a professional characterization. The story becomes very cartoonish once Maleficent goes mad and invades the castle to spell the curse. If I was a child, I would surely be scared in that scene. The real love thought is also interesting, being another mark for the genre, along with ""Frozen"". All in all, ""Maleficent"" is a GREAT picture that sets another mark for the genre, and may inspire a lot of other stories from now on.",
141,Kamurai25,7,"""A Second Side of Darkness""","Good watch, would watch again, and can recommend.

I'm not a big Angelina Jolie (""Lara Croft: Tomb Raider"") fan, but she definitely nailed the part, and I felt for her when those things happened, so I'm definitely not going to say she's not a good actor.

Elle Fanning (""The Great"") is great, mostly an annoyingly happy little thing while she's awake, alongside wonderful supporting cast and gorgeous (and sometimes goofy) CG animated creatures.

Disney definitely poured money into this to make it look great. They also spent quite the effort to revitalize the story. After rewatching ""Sleeping Beauty"" and some other variations (I did fail to reread the original story), I am definitely a fan of the direction they took. The original story was just so weak and empty, and this does one of my favorite things and humanizes a villain into an adversery into of an evil monster.

I'm not a fan of how or why the 3 faeries get involved, but it makes some sense. And I'm very happy with how they handled the resolution of the curse.

They created this awesome world which adds to the movie in a very special way.",
